left_type	left_label	operator	right_type	right_label	issue	expected_count	reason
ANY	ANY	+	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	-	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	*	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	/	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	div	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	fld	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	cld	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	rem	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	mod	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	==	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	!=	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	<	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	<=	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	>	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	>=	UInt64	typemax	#9422	74	UInt64 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	+	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	-	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	*	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	/	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	div	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	fld	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	cld	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	rem	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	mod	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	==	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	!=	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	<	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	<=	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	>	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
ANY	ANY	>=	UInt128	typemax	#9422	74	UInt128 typemax boundary raises an uncatchable OverflowError (UInt128->Int64 conversion in rem/*) that aborts the whole probe before the try/catch can record a row.
Int8	typemin	div	Int8	minus_one	#9429	1	Signed typemin op -1: rem/mod panic the VM (remainder overflow, #9429); div/fld/cld throw InexactError/DivideError. Kept skiplisted because rem/mod still hard-abort the probe.
