bucket	metric	module	count
build-time-invariant	expect_call	subset_julia_vm/build.rs	9
build-time-invariant	panic_macro	subset_julia_vm/build.rs	13
build-time-invariant	panic_macro	subset_julia_vm/src/bin	15
build-time-invariant	unwrap_call	subset_julia_vm/src/bin	11
cache-corruption-boundary	expect_call	subset_julia_vm/src/core_ir_file.rs	2
test-only	expect_call	subset_julia_vm/src/aot	45
test-only	expect_call	subset_julia_vm/src/api.rs	12
test-only	expect_call	subset_julia_vm/src/base_loader.rs	6
test-only	expect_call	subset_julia_vm_compile/src/compile	270
test-only	expect_call	subset_julia_vm/src/core_ir_file.rs	1
test-only	expect_call	subset_julia_vm/src/julia	19
test-only	expect_call	subset_julia_vm/src/loader.rs	22
test-only	expect_call	subset_julia_vm_lowering/src/lowering	47
test-only	expect_call	subset_julia_vm/src/macro_runtime.rs	3
test-only	expect_call	subset_julia_vm/src/pipeline.rs	6
test-only	expect_call	subset_julia_vm_vm/src/register_vm.rs	18
test-only	expect_call	subset_julia_vm/src/repl	19
test-only	expect_call	subset_julia_vm/src/stdlib_loader.rs	3
test-only	expect_call	subset_julia_vm/src/test_runtime.rs	5
test-only	expect_call	subset_julia_vm_vm/src/vm	65
test-only	expect_call	subset_julia_vm_vm/src/vm/builtins_macro	4
test-only	expect_call	subset_julia_vm_vm/src/vm/dynamic_ops	1
test-only	expect_call	subset_julia_vm_vm/src/vm/exec/call.rs	1
test-only	expect_call	subset_julia_vm_vm/src/vm/specialize	23
test-only	expect_call	subset_julia_vm_vm/src/vm/type_ops	3
test-only	expect_call	subset_julia_vm/src/vm_bytecode_file.rs	18
test-only	expect_call	subset_julia_vm_ffi/src/bytecode.rs	4
test-only	expect_call	subset_julia_vm_web/src/lib.rs	7
test-only	panic_macro	subset_julia_vm/src/aot	25
test-only	panic_macro	subset_julia_vm/src/api.rs	1
test-only	panic_macro	subset_julia_vm/src/bin	3
test-only	panic_macro	subset_julia_vm_compile/src/compile	39
test-only	panic_macro	subset_julia_vm/src/julia	2
test-only	panic_macro	subset_julia_vm_lowering/src/lowering	31
test-only	panic_macro	subset_julia_vm/src/macro_runtime.rs	5
test-only	panic_macro	subset_julia_vm_vm/src/register_vm.rs	2
test-only	panic_macro	subset_julia_vm/src/repl	5
test-only	panic_macro	subset_julia_vm/src/runtime_types	9
