metric	module	baseline
expect_call	subset_julia_vm/build.rs	9
expect_call	subset_julia_vm/src/aot	45
expect_call	subset_julia_vm/src/api.rs	12
expect_call	subset_julia_vm/src/base_loader.rs	6
expect_call	subset_julia_vm/src/core_ir_file.rs	3
expect_call	subset_julia_vm/src/julia	19
expect_call	subset_julia_vm/src/loader.rs	22
expect_call	subset_julia_vm/src/macro_runtime.rs	3
expect_call	subset_julia_vm/src/pipeline.rs	6
expect_call	subset_julia_vm/src/repl	19
expect_call	subset_julia_vm/src/stdlib_loader.rs	3
expect_call	subset_julia_vm/src/vm_bytecode_file.rs	20
expect_call	subset_julia_vm_compile/build.rs	3
expect_call	subset_julia_vm_compile/src/compile	340
expect_call	subset_julia_vm_ffi/src/bytecode.rs	4
expect_call	subset_julia_vm_lowering/src/expr_heads.rs	1
expect_call	subset_julia_vm_lowering/src/lowering	47
expect_call	subset_julia_vm_parser/src/parser	101
expect_call	subset_julia_vm_vm/src/lib.rs	5
expect_call	subset_julia_vm_vm/src/register_vm.rs	18
expect_call	subset_julia_vm_vm/src/vm	67
expect_call	subset_julia_vm_vm/src/vm/builtins_macro	4
expect_call	subset_julia_vm_vm/src/vm/dynamic_ops	1
expect_call	subset_julia_vm_vm/src/vm/exec/call.rs	2
expect_call	subset_julia_vm_vm/src/vm/exec/mod.rs	1
expect_call	subset_julia_vm_vm/src/vm/specialize	23
expect_call	subset_julia_vm_vm/src/vm/type_ops	4
expect_call	subset_julia_vm_web/src/lib.rs	7
panic_macro	subset_julia_vm/build.rs	13
panic_macro	subset_julia_vm/src/aot	25
panic_macro	subset_julia_vm/src/api.rs	1
panic_macro	subset_julia_vm/src/bin	18
panic_macro	subset_julia_vm/src/julia	2
panic_macro	subset_julia_vm/src/macro_runtime.rs	7
panic_macro	subset_julia_vm/src/repl	5
panic_macro	subset_julia_vm_compile/build.rs	3
panic_macro	subset_julia_vm_compile/src/compile	53
panic_macro	subset_julia_vm_ffi/src/bytecode.rs	2
panic_macro	subset_julia_vm_ffi/src/detailed.rs	1
panic_macro	subset_julia_vm_lowering/src/lowering	50
panic_macro	subset_julia_vm_parser/src/corpus.rs	1
panic_macro	subset_julia_vm_parser/src/cst.rs	5
panic_macro	subset_julia_vm_parser/src/lexer.rs	1
panic_macro	subset_julia_vm_runtime/src/dispatch.rs	1
panic_macro	subset_julia_vm_runtime/src/error.rs	2
panic_macro	subset_julia_vm_vm/src/register_vm.rs	2
panic_macro	subset_julia_vm_vm/src/vm	26
panic_macro	subset_julia_vm_vm/src/vm/builtins_macro	1
panic_macro	subset_julia_vm_vm/src/vm/builtins_reflection	26
panic_macro	subset_julia_vm_vm/src/vm/dynamic_ops	1
panic_macro	subset_julia_vm_vm/src/vm/exec/array_mutate.rs	17
panic_macro	subset_julia_vm_vm/src/vm/exec/binary_both.rs	19
panic_macro	subset_julia_vm_vm/src/vm/exec/call_function_variable.rs	17
panic_macro	subset_julia_vm_vm/src/vm/exec/rng.rs	2
panic_macro	subset_julia_vm_vm/src/vm/exec/stack.rs	1
panic_macro	subset_julia_vm_vm/src/vm/exec/struct_ops.rs	10
panic_macro	subset_julia_vm_vm/src/vm/specialize	2
panic_macro	subset_julia_vm_vm/src/vm/type_ops	7
unwrap_call	subset_julia_vm/src/aot	633
unwrap_call	subset_julia_vm/src/api.rs	1
unwrap_call	subset_julia_vm/src/base_loader.rs	1
unwrap_call	subset_julia_vm/src/bin	36
unwrap_call	subset_julia_vm/src/core_ir_file.rs	4
unwrap_call	subset_julia_vm/src/julia	57
unwrap_call	subset_julia_vm/src/repl	27
unwrap_call	subset_julia_vm_compile/src/compile	40
unwrap_call	subset_julia_vm_ffi/src/bytecode.rs	2
unwrap_call	subset_julia_vm_ffi/src/detailed.rs	13
unwrap_call	subset_julia_vm_ffi/src/repl_ffi.rs	13
unwrap_call	subset_julia_vm_lowering/src/lowering	58
unwrap_call	subset_julia_vm_parser/src/cst.rs	3
unwrap_call	subset_julia_vm_parser/src/lexer.rs	8
unwrap_call	subset_julia_vm_parser/src/lib.rs	5
unwrap_call	subset_julia_vm_parser/src/node_kind	6
unwrap_call	subset_julia_vm_runtime/src/array.rs	3
unwrap_call	subset_julia_vm_runtime/src/convert.rs	7
unwrap_call	subset_julia_vm_runtime/src/dispatch.rs	9
unwrap_call	subset_julia_vm_runtime/src/error.rs	1
unwrap_call	subset_julia_vm_vm/src/vm	127
unwrap_call	subset_julia_vm_vm/src/vm/builtins_reflection	11
unwrap_call	subset_julia_vm_vm/src/vm/dynamic_ops	6
unwrap_call	subset_julia_vm_vm/src/vm/formatting	5
unwrap_call	subset_julia_vm_vm/src/vm/matmul	12
unwrap_call	subset_julia_vm_vm/src/vm/type_ops	15
