kind	domain	layer	difficulty	verdict	module	count
by_name_ref	function	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_compile/src/compile	3
by_name_ref	function	vm	mechanical-rename	identity-bearing	subset_julia_vm_vm/src/vm	6
by_name_ref	function	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	12
by_name_ref	global	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	2
by_name_ref	other	compile	mechanical-rename	identity-bearing	subset_julia_vm_bytecode/src/value	4
by_name_ref	other	compile	mechanical-rename	identity-bearing	subset_julia_vm_compile/src/compile	4
by_name_ref	other	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_bytecode/src/value	5
by_name_ref	other	inference	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_types/src/inference_core	3
by_name_ref	other	vm	mechanical-rename	identity-bearing	subset_julia_vm_vm/src/register_vm.rs	6
by_name_ref	other	vm	mechanical-rename	identity-bearing	subset_julia_vm_vm/src/vm	31
by_name_ref	other	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/register_vm.rs	2
by_name_ref	other	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	11
by_name_ref	struct	compile	mechanical-rename	identity-bearing	subset_julia_vm_compile/src/compile	6
by_name_ref	struct	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_compile/src/compile	9
by_name_ref	struct	inference	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_types/src/inference_core	4
by_name_ref	struct	inference	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_types/src/runtime_types	1
by_name_ref	struct	other	mechanical-rename	identity-bearing	subset_julia_vm/src/aot	1
map_decl	function	cache	requires-serialization-format-change	identity-bearing	subset_julia_vm_compile/src/compile	4
map_decl	function	compile	mechanical-rename	identity-bearing	subset_julia_vm_compile/src/compile	2
map_decl	function	compile	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_compile/src/compile	31
map_decl	function	other	mechanical-rename	identity-bearing	subset_julia_vm/src/aot	5
map_decl	function	other	mechanical-rename	identity-bearing	subset_julia_vm/src/macro_runtime.rs	1
map_decl	function	other	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/aot	24
map_decl	function	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm/src/repl	5
map_decl	function	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/register_vm.rs	4
map_decl	function	vm	requires-owner-context-plumbing	identity-bearing	subset_julia_vm_vm/src/vm	4
map_decl	global	cache	requires-serialization-format-change	inert	subset_julia_vm_compile/src/compile	12
